Date,Open,High,Low,Close,Total Trade Quantity
2014-01-17,31.0,31.0,30.5,30.65,123045.0
2014-01-20,31.95,31.95,30.5,30.65,135720.0
2014-01-21,30.65,31.05,30.55,30.7,87960.0
2014-01-22,30.65,30.95,30.55,30.9,75952.0
2014-01-23,30.85,30.95,30.5,30.65,65938.0
2014-01-24,30.6,31.0,30.55,30.8,118391.0
2014-01-27,30.75,31.0,30.5,30.7,114573.0
2014-01-28,30.65,31.1,30.4,30.75,88522.0
2014-01-29,31.55,31.75,30.55,31.0,39672.0
2014-01-30,30.95,31.5,30.6,30.8,52105.0
2014-01-31,30.7,32.9,30.65,31.0,120502.0
2014-02-03,31.55,31.6,30.5,30.75,98458.0
2014-02-04,30.85,32.0,30.55,31.2,79541.0
2014-02-05,31.35,31.35,30.85,31.1,78935.0
2014-02-06,31.35,31.75,30.75,31.6,112418.0
2014-02-07,32.2,32.9,31.35,32.55,114058.0
2014-02-10,33.0,33.0,31.35,31.85,85995.0
2014-02-11,31.55,33.0,31.25,32.05,68512.0
2014-02-12,32.3,32.35,30.9,31.1,66013.0
2014-02-13,31.3,31.7,30.4,30.5,84724.0
2014-02-14,30.55,31.0,30.3,30.45,120456.0
2014-02-17,30.95,30.95,30.4,30.5,78808.0
2014-02-18,30.85,30.85,30.2,30.3,114090.0
2014-02-19,30.55,30.95,30.35,30.35,99548.0
2014-02-20,30.5,30.8,30.2,30.25,111713.0
2014-02-21,30.45,30.55,30.25,30.35,79364.0
2014-02-24,30.7,30.7,30.3,30.35,64704.0
2014-02-25,30.8,30.8,30.25,30.45,84395.0
2014-02-26,30.35,30.7,30.25,30.3,120413.0
2014-02-28,30.45,30.5,30.25,30.35,120452.0
2014-03-03,30.5,30.75,30.2,30.3,106759.0
2014-03-04,30.5,30.55,30.2,30.3,142558.0
2014-03-05,30.45,30.55,30.1,30.2,115527.0
2014-03-06,30.4,31.55,30.1,30.65,96092.0
2014-03-07,30.35,30.9,30.3,30.45,95895.0
2014-03-10,30.25,36.5,30.25,30.7,129845.0
2014-03-11,30.4,33.8,30.4,31.25,95256.0
2014-03-12,31.25,31.3,30.7,30.95,79170.0
2014-03-13,30.6,31.45,30.5,30.6,97616.0
2014-03-14,30.9,30.9,30.2,30.3,102715.0
2014-03-18,30.3,30.8,30.25,30.3,91607.0
2014-03-19,30.3,30.8,30.1,30.3,116507.0
2014-03-20,30.3,30.45,30.2,30.25,96068.0
2014-03-21,33.0,33.0,30.2,30.55,69031.0
2014-03-22,30.3,30.35,30.2,30.2,21252.0
2014-03-24,30.2,30.75,30.15,30.2,105173.0
2014-03-25,30.4,30.55,30.1,30.2,194042.0
2014-03-26,31.0,31.0,30.1,30.2,115296.0
